"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 13:30:02 MSK 2023","Thu May 18 13:30:03 MSK 2023","685","","test_jne","Test_Main_PM_Window","","","Окно изображений",""
"passed","Thu May 18 13:29:59 MSK 2023","Thu May 18 13:29:59 MSK 2023","676","","test_jne","Test_Main_PM_Window","","","Кнопка минимайз",""
"passed","Thu May 18 13:29:58 MSK 2023","Thu May 18 13:29:59 MSK 2023","585","","test_jne","Test_Main_PM_Window","","","Кнопка import_to",""
"passed","Thu May 18 13:20:03 MSK 2023","Thu May 18 13:20:04 MSK 2023","883","","test_jne","Test_Install_after_Uninstal_after_install_launch","","","Следующая кнопка далее",""
"passed","Thu May 18 13:29:43 MSK 2023","Thu May 18 13:29:44 MSK 2023","506","","test_jne","Test_Main_PM_Window","","","Окно ПМ",""
"passed","Thu May 18 13:19:35 MSK 2023","Thu May 18 13:19:37 MSK 2023","2003","","test_jne","Test_ChangeIP_after_install_launch","","","Cмена ip в сетингс settings_new.xml",""
"passed","Thu May 18 13:25:56 MSK 2023","Thu May 18 13:26:02 MSK 2023","5664","","test_jne","Test_Close_Configurator_Window","","","Закрытие окна конфигуратора",""
"passed","Thu May 18 13:24:42 MSK 2023","Thu May 18 13:24:48 MSK 2023","5947","","test_jne","Test_check_run_configurator","","","Запуск конфигуратора",""
"broken","Thu May 18 13:31:15 MSK 2023","Thu May 18 13:31:16 MSK 2023","754","","test_jne","Test_check_run_configurator_for_check_windows","","","Вкладка Exports",""
"passed","Thu May 18 13:18:04 MSK 2023","Thu May 18 13:18:06 MSK 2023","1850","","test_jne","Test_Install","","","Найдено окно установочника",""
"passed","Thu May 18 13:30:00 MSK 2023","Thu May 18 13:30:01 MSK 2023","586","","test_jne","Test_Main_PM_Window","","","Заголовок Брони",""
"passed","Thu May 18 13:30:02 MSK 2023","Thu May 18 13:30:02 MSK 2023","745","","test_jne","Test_Main_PM_Window","","","Окно броней",""
"passed","Thu May 18 13:30:07 MSK 2023","Thu May 18 13:30:07 MSK 2023","682","","test_jne","Test_Main_PM_Window","","","Нажатие на кнопку в трее",""
"passed","Thu May 18 13:18:06 MSK 2023","Thu May 18 13:18:07 MSK 2023","905","","test_jne","Test_Install","","","Нажата кнопка далее",""
"passed","Thu May 18 13:29:46 MSK 2023","Thu May 18 13:29:47 MSK 2023","582","","test_jne","Test_Main_PM_Window","","","Кнопка сканировать",""
"passed","Thu May 18 13:20:04 MSK 2023","Thu May 18 13:20:05 MSK 2023","935","","test_jne","Test_Install_after_Uninstal_after_install_launch","","","Следующая кнопка далее",""
"passed","Thu May 18 13:18:08 MSK 2023","Thu May 18 13:18:08 MSK 2023","933","","test_jne","Test_Install","","","Следующая кнопка далее",""
"passed","Thu May 18 13:25:56 MSK 2023","Thu May 18 13:25:56 MSK 2023","583","","test_jne","Test_Close_Configurator_Window","","","Найти окно конфигуратора",""
"passed","Thu May 18 13:30:07 MSK 2023","Thu May 18 13:30:08 MSK 2023","664","","test_jne","Test_Main_PM_Window","","","Подтверждение закрытия ПМ",""
"passed","Thu May 18 13:18:07 MSK 2023","Thu May 18 13:18:08 MSK 2023","900","","test_jne","Test_Install","","","Следующая кнопка далее",""
"passed","Thu May 18 13:29:59 MSK 2023","Thu May 18 13:30:00 MSK 2023","831","","test_jne","Test_Main_PM_Window","","","Кнопка максимайз",""
"passed","Thu May 18 13:29:44 MSK 2023","Thu May 18 13:29:44 MSK 2023","494","","test_jne","Test_Main_PM_Window","","","Вкладка главная",""
"passed","Thu May 18 13:29:20 MSK 2023","Thu May 18 13:29:43 MSK 2023","23379","","test_jne","Test_Run_PM_after_reinstall","","","Главное окно ПМ открыто",""
"passed","Thu May 18 13:30:21 MSK 2023","Thu May 18 13:30:26 MSK 2023","4698","","test_jne","Test_check_run_configurator_for_check_windows","","","Поиск полей пароля и логина",""
"failed","Thu May 18 13:29:47 MSK 2023","Thu May 18 13:29:53 MSK 2023","5537","","test_jne","Test_Main_PM_Window","","","Кнопка Уфмс формы",""
"passed","Thu May 18 13:27:07 MSK 2023","Thu May 18 13:27:08 MSK 2023","733","","test_jne","Test_Close_PM_Tray","","","Поиск кнопки в Трее",""
"passed","Thu May 18 13:30:04 MSK 2023","Thu May 18 13:30:05 MSK 2023","556","","test_jne","Test_Main_PM_Window","","","Иконка iida",""
"passed","Thu May 18 13:30:01 MSK 2023","Thu May 18 13:30:02 MSK 2023","673","","test_jne","Test_Main_PM_Window","","","Кнопка расширенного поика",""
"passed","Thu May 18 13:29:45 MSK 2023","Thu May 18 13:29:46 MSK 2023","564","","test_jne","Test_Main_PM_Window","","","Кнопка печать текущего изображения",""
"failed","Thu May 18 13:29:53 MSK 2023","Thu May 18 13:29:58 MSK 2023","5212","","test_jne","Test_Main_PM_Window","","","Иконка Export to",""
"passed","Thu May 18 13:25:45 MSK 2023","Thu May 18 13:25:46 MSK 2023","767","","test_jne","Test_change_ip_configurator","","","Окно Station settings",""
"passed","Thu May 18 13:26:02 MSK 2023","Thu May 18 13:26:12 MSK 2023","10010","","test_jne","Test_Run_PM_after_change_ip_in_configurator","","","Предупреждения о have not access to server, install regula",""
"passed","Thu May 18 13:27:10 MSK 2023","Thu May 18 13:27:43 MSK 2023","32471","","test_jne","Test_Reinstall_PM","","","Переустановка ПМ",""
"passed","Thu May 18 13:18:08 MSK 2023","Thu May 18 13:18:35 MSK 2023","26383","","test_jne","Test_Install","","","Кнопка финиш в установочнике",""
"passed","Thu May 18 13:19:37 MSK 2023","Thu May 18 13:20:00 MSK 2023","23002","","test_jne","Test_Uninstal_after_install_launch","","","Удаление после первой установки",""
"passed","Thu May 18 13:25:52 MSK 2023","Thu May 18 13:25:53 MSK 2023","1345","","test_jne","Test_change_ip_configurator","","","Иконка current_station",""
"passed","Thu May 18 13:20:03 MSK 2023","Thu May 18 13:20:03 MSK 2023","867","","test_jne","Test_Install_after_Uninstal_after_install_launch","","","Нажата кнопка далее",""
"passed","Thu May 18 13:26:44 MSK 2023","Thu May 18 13:27:07 MSK 2023","23373","","test_jne","Test_Run_PM_after_change_ip_in_configurator","","","Главное окно ПМ открыто",""
"passed","Thu May 18 13:26:12 MSK 2023","Thu May 18 13:26:44 MSK 2023","32204","","test_jne","Test_Run_PM_after_change_ip_in_configurator","","","Предупреждения о have not access to server, install regula 2",""
"passed","Thu May 18 13:27:43 MSK 2023","Thu May 18 13:28:08 MSK 2023","25065","","test_jne","Test_Run_PM_after_reinstall","","","Предупреждения о have not access to server, install regula",""
"passed","Thu May 18 13:25:55 MSK 2023","Thu May 18 13:25:56 MSK 2023","596","","test_jne","Test_change_ip_configurator","","","Кнопка сохранить ip в конфигураторе",""
"passed","Thu May 18 13:20:01 MSK 2023","Thu May 18 13:20:03 MSK 2023","1879","","test_jne","Test_Install_after_Uninstal_after_install_launch","","","Найдено окно установочника",""
"passed","Thu May 18 13:24:48 MSK 2023","Thu May 18 13:24:53 MSK 2023","5269","","test_jne","Test_check_run_configurator","","","Поиск полей пароля и логина",""
"passed","Thu May 18 13:30:06 MSK 2023","Thu May 18 13:30:07 MSK 2023","682","","test_jne","Test_Main_PM_Window","","","Поиск кнопки в Трее",""
"passed","Thu May 18 13:27:08 MSK 2023","Thu May 18 13:27:09 MSK 2023","700","","test_jne","Test_Close_PM_Tray","","","Нажатие на кнопку в трее",""
"passed","Thu May 18 13:27:09 MSK 2023","Thu May 18 13:27:10 MSK 2023","1364","","test_jne","Test_Close_PM_Tray","","","Подтверждение закрытия ПМ",""
"passed","Thu May 18 13:29:46 MSK 2023","Thu May 18 13:29:46 MSK 2023","534","","test_jne","Test_Main_PM_Window","","","Кнопка открыть из файла",""
"passed","Thu May 18 13:19:05 MSK 2023","Thu May 18 13:19:31 MSK 2023","26288","","test_jne","Test_Install_With_Launch","","","Чекбокс Лаунч",""
"passed","Thu May 18 13:18:35 MSK 2023","Thu May 18 13:18:37 MSK 2023","2005","","test_jne","Test_Change_IP","","","Cмена ip в сетингс settings_new.xml",""
"passed","Thu May 18 13:30:03 MSK 2023","Thu May 18 13:30:04 MSK 2023","813","","test_jne","Test_Main_PM_Window","","","Окно Информация о брони",""
"passed","Thu May 18 13:20:30 MSK 2023","Thu May 18 13:20:32 MSK 2023","2005","","test_jne","Test_Change_IP_for_therd_instalation","","","Cмена ip в сетингс settings_new.xml",""
"passed","Thu May 18 13:18:00 MSK 2023","Thu May 18 13:18:04 MSK 2023","3640","","test_jne","Test_Install","","","Найдена иконка установочника",""
"passed","Thu May 18 13:25:53 MSK 2023","Thu May 18 13:25:55 MSK 2023","1566","","test_jne","Test_change_ip_configurator","","","Поле ip в конфигураторе",""
"passed","Thu May 18 13:20:32 MSK 2023","Thu May 18 13:24:42 MSK 2023","249528","","test_jne","Test_check_wrong_passwords_for_configurator","","","Проверка не верных паролей для конфигуратора",""
"passed","Thu May 18 13:25:46 MSK 2023","Thu May 18 13:25:46 MSK 2023","700","","test_jne","Test_change_ip_configurator","","","Иконка main hotell",""
"passed","Thu May 18 13:30:05 MSK 2023","Thu May 18 13:30:06 MSK 2023","564","","test_jne","Test_Main_PM_Window","","","Кнопки Фиас, сохр.группу, сохранить, ок, закрыть",""
"passed","Thu May 18 13:29:47 MSK 2023","Thu May 18 13:29:47 MSK 2023","586","","test_jne","Test_Main_PM_Window","","","Кнопка Zoom",""
"passed","Thu May 18 13:30:08 MSK 2023","Thu May 18 13:30:21 MSK 2023","12731","","test_jne","Test_check_run_configurator_for_check_windows","","","Запуск конфигуратора",""
"passed","Thu May 18 13:18:37 MSK 2023","Thu May 18 13:19:00 MSK 2023","23190","","test_jne","Test_Uninstal","","","Удаление после первой установки",""
"passed","Thu May 18 13:20:05 MSK 2023","Thu May 18 13:20:30 MSK 2023","24993","","test_jne","Test_Install_after_Uninstal_after_install_launch","","","Кнопка финиш в установочнике",""
"passed","Thu May 18 13:19:00 MSK 2023","Thu May 18 13:19:01 MSK 2023","994","","test_jne","Test_Install_With_Launch","","","Запуск установка с чекбоксом Launch application",""
"passed","Thu May 18 13:25:46 MSK 2023","Thu May 18 13:25:52 MSK 2023","5744","","test_jne","Test_change_ip_configurator","","","Иконка part_hotel",""
"passed","Thu May 18 13:30:26 MSK 2023","Thu May 18 13:31:15 MSK 2023","49808","","test_jne","Test_check_run_configurator_for_check_windows","","","Проверка окон в конфигураторе",""
"passed","Thu May 18 13:19:31 MSK 2023","Thu May 18 13:19:35 MSK 2023","3981","","test_jne","Test_Install_With_Launch","","","Окно Еррор",""
"passed","Thu May 18 13:29:44 MSK 2023","Thu May 18 13:29:45 MSK 2023","625","","test_jne","Test_Main_PM_Window","","","Кнопка печать всех изображений",""
"passed","Thu May 18 13:19:01 MSK 2023","Thu May 18 13:19:05 MSK 2023","3458","","test_jne","Test_Install_With_Launch","","","Кнопка некст",""
"passed","Thu May 18 13:20:00 MSK 2023","Thu May 18 13:20:01 MSK 2023","842","","test_jne","Test_Install_after_Uninstal_after_install_launch","","","Найдена иконка установочника",""
"passed","Thu May 18 13:24:53 MSK 2023","Thu May 18 13:25:45 MSK 2023","51830","","test_jne","Test_change_ip_configurator","","","Смена ip в конфигураторе",""
"passed","Thu May 18 13:28:08 MSK 2023","Thu May 18 13:29:20 MSK 2023","72220","","test_jne","Test_Run_PM_after_reinstall","","","Предупреждения о have not access to server, install regula 2",""
"passed","Thu May 18 13:30:06 MSK 2023","Thu May 18 13:30:06 MSK 2023","575","","test_jne","Test_Main_PM_Window","","","Кнопки закрытия, открытия, сворачивания окна",""
"passed","Thu May 18 13:30:04 MSK 2023","Thu May 18 13:30:04 MSK 2023","595","","test_jne","Test_Main_PM_Window","","","Слово бронь и чекбокс Подтвердить",""
